ID,Block_no,Treatment_no,Farm,Research_Organization,Production_type,Field_no,Region,Municipality,Year_of_experiment,Lati_DD,Long_DD,Cultivar,Cultivar_purity_perc,Year_of_stand_establishment,Nutrient_tested,Cropping_system,Fertilizer_formula,Fertilizer_21-0-0,Fertilizer_8-0-0,Fertilizer_6-1-1,Fertilizer_24-5-11,Fertilizer_14-14-14,Fertilizer_13-13-13,Fertilizer_11-52-0,Fertilizer_11-38-0,Fertilizer_10-10-20,Fertilizer_5-10-30,"Fertilizer_4,9-2,7-3,5",Fertilizer_2-6-42,Fertilizer_0-46-0,Fertilizer_0-13-0,Fertilizer_0-0-62,Fertilizer_0-0-56,Fertilizer_0-0-50,Fertilizer_0-0-22-11,Fertilizer_0-0-0-21,Fertilizer_0-0-0-25,Fertilizer_0-0-0-90,Fertilizer-name_N,Fertilizer-name_P,Fertilizer-name_K,Fertilizer-name_Mg,Fertilizer-name_Ca,Fertilizer-name_Cu,Fertilizer-name_B,Fertilizer-name_S,Fertilizer-tot-dose_N_kg_ha,Fertilizer-tot-dose_P_kg_ha,Fertilizer-tot-dose_K_kg_ha,Fertilizer-tot-dose_Mg_kg_ha,Fertilizer-tot-dose_Cu_kg_ha,Fertilizer-tot-dose_B_kg_ha,Fertilizer-tot-dose_Zn_kg_ha,Fertilizer-dose_S_elementary_kg_ha,Fertilizer-dose_S_SCU_ kg_ha,Fertilizer-tot-dose_S_kg_ha,Fertilizer-dose_Ca_kg_ha,Fertilizer_date_application1_S,Fertilizer_date_application2_S,Fertilizer_date_application3_S,Fertilizer_date_application4_Elements_mineurs_S,Fertilizer_date_application1_N,Fertilizer_date_application2_N,Fertilizer_date_application1_NPK,Fertilizer_date_application2_NPK,Fertilizer_date_application3_NPK,Fertilizer_date_application4_NPK,Fertilizer_date_application5_NPK,Fertilizer_date_application6_NPK,Fertilizer_date_application7_NPK,Fertilizer_date_application8_NPK,Fertilizer_date_application1_K,Fertilizer_date_application2_K,Fertilizer_date_application3_K,Fertilizer_date_application4_K,Method_CSN_drying_T_celcius_leaf_fruit,Method_CSN_leaf_fruit,Method_extraction_leaf_fruit,Method_quantification_leaf_fruit,Method_CSN.drying_T_celcius_soil,Method_CNS_grinding_0.02mm,Method_C_soil,Method_N_soil,Method_quantification_Nutrients_Mehlich3_soil,Methode_quantification_Oxalate_soil,Leaf_Date_collection_stage1,Leaf_C_stage1_g_kg,Leaf_S_stage1_g_kg,Leaf_N_stage1_g_kg,Leaf_P_stage1_g_kg,Leaf_K_stage1_g_kg,Leaf_Ca_stage1_g_kg,Leaf1_Mg_stage_g_kg,Leaf_B_stage1_g_kg,Leaf_Cu_stage1_g_kg,Leaf_Zn_stage1_g_kg,Leaf_Mn_stage1_g_kg,Leaf_Fe_stage1_g_kg,Leaf_Al_stage1_g_kg,Leaf_Si_stage1_g_kg,Leaf_date_harvest_stage2,Leaf_C_CNS_stage2_g_kg,Leaf_S_CNS_stage2_g_kg,Leaf_S_stage2_g_kg_ICP,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Leaf_Al_stage2_g_kg,Leaf_Na_stage2_g_kg,Leaf_Si_stage2_g_kg,Flower_date_harvest,Flower_Nb_upright_collection,Flower_Nb_Flower_collection,Fruit_date_harvest,Fruit_C_g_kg,Fruit_S_g_kg,Fruit_S_g_kg_ICP,Fruit_N_g_kg,Fruit_P_g_kg,Fruit_K_g_kg,Fruit_Ca_g_kg,Fruit_Mg_g_kg,Fruit_B_g_kg,Fruit_Cu_g_kg,Fruit_Zn_g_kg,Fruit_Mn_g_kg,Fruit_Fe_g_kg,Fruit_Al_g_kg,Fruit_Si_g_kg,Fruit_Tacy_labo_mg_Anth_100g,Fruit_Tacy_image_mg_Anth_100g_515nm,Fruit_Brix_degreeBrix,Fruit_Firmness_N_s,Fruit_weight_g,Fruit_yield_Mg_ha,Fruit_moisture_berry_perc,Date_harvest_Fruit_upright,Fruiting_upright_Nb_m2,Nb_Fruit_m2,Soil_sampling_date,Soil_pH_CaCl2_spring,Soil_pH_water_spring,Soil_pH_buffer_spring,Soil_organic_carbon_method,Soil_organic_carbon_OM_mg_kg,Soil_organic_carbon_totC_mg_kg,Soil_S_spring_mg_kg,Soil_N_spring_mg_kg,Soil_Ca_Mehlich3_spring_mg_kg,Soil_Mg_Mehlich3_spring_mg_kg,Soil_K_Mehlich3_spring_mg_kg,Soil_B_Mehlich3_spring_mg_kg,Soil_Cu_Mehlich3_spring_mg_kg,Soil_Zn_Mehlich3_spring_mg_kg,Soil_Fe_Mehlich3_spring_mg_kg,Soil_Mn_Mehlich3_spring_mg_kg,Soil_Al_Mehlich3_spring_mg_kg,Soil_P_Mehlich3_spring_mg_kg,Soil_S_Mehlich3_spring_mg_kg,Soil_Si_Mehlich3_spring_mg_kg,Soil_Na_Mehlich3_spring_mg_kg,Soil_Ca_OX_spring_mg_kg,Soil_Mg_OX_spring_mg_kg,Soil_Fe_OX_spring_mg_kg,Soil_Mn_OX_spring_mg_kg,Soil_Al_OX_spring_mg_kg,Soil_P_OX_spring_mg_kg,Soil_Si_OX_spring_mg_kg,Soil_P_OX_spring_mmol_kg,Soil_Fe_OX_spring_mmol_kg,Soil_Al_OX_spring_mmol_kg,Soil_Date_harvest_autumn,Soil_pH_CaCl2_autumn,Soil_pH_buffer_autumn,Soil_C_autumn_perc,Soil_S_autumn_perc,Soil_N_autumn_perc,Soil_Ca_Mehlich3_autumn_mg_kg,Soil_Mg_Mehlich3_autumn_mg_kg,Soil_K_Mehlich3_autumn_mg_kg,Soil_B_Mehlich3_autumn_mg_kg,Soil_Cu_Mehlich3_autumn_mg_kg,Soil_Zn_Mehlich3_autumn_mg_kg,Soil_Fe_Mehlich3_autumn_mg_kg,Soil_Mn_Mehlich3_autumn_mg_kg,Soil_Al_Mehlich3_autumn_mg_kg,Soil_P_Mehlich3_autumn_mg_kg,Soil_S_Mehlich3_autumn_mg_kg,Soil_Na_Mehlich3_autumn_mg_kg,Soil_bulk density_0_10cm_g_cm3,Soil_bulk density_10_20cm_g_cm3,Soil_bulk density_20_30cm_g_cm3,Soil_texture,Soil_Sand_tot_perc,Soil_clay_tot_perc,Soil_sand_very coarse_1mm_perc,Soil_sand_coarse_0.5mm_perc,Soil_sand_medium_0.25mm_perc,Soil_sand_fine_0.1mm_perc,Soil_sand.very_fine_0.05mm_perc,Soil_series,Precipitations_total_May_mm,Precipitations_total_June_mm,Precipitations_total_July_mm,Precipitations_total_August_mm,Precipitations_total_September_mm,Precipitations_total_October_mm,Temperature_mean_air_May_celcius,Temperature_mean_air_June_celcius,Temperature_mean_air_July_celcius,Temperature_mean_air_August_celcius,Temperature_mean_air_September_celcius,Temperature_mean_air_October_celcius,NDVI,Comments
2014_001,1,N0,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,NA,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,NA,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,0,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,512.11,0.3462,7.3844,0.967,4.409,6.023,1.371,0.0333,0.003,0.012,0.191,0.277,0.227,NA,09-09-2014,513.06,0.5878,NA,7.697,0.911,6.898,1.91,6.923,0.055,0.004,0.013,0.172,0.11,0.148,NA,NA,2014-07-06,144,558,2014-10-01,426.59,0,NA,1.0473,0.597,6.664,0.537,0.395,NA,0.00288,0.0761,0.008514,0.029083,0,NA,42.89863,NA,NA,NA,1.37,37.12,87.77,2014-08-16,80,134,15-06-2014,4.02,NA,NA,Ct,NA,9694.1,689,453.5,18.147451492236,4.4976955558288,13.9357509656832,NA,1.99527777564748,0.464579440310559,303.29253297566,0.45512357806677,1514.43264463944,97.5547415836957,NA,NA,NA,27.6041291805556,19.7395003400463,3.20696688768518,1705.92511234568,2212.81913018518,155.674456685185,440.240103644213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,93.2449005203441,3.3044203081193,1.27490039840638,7.45019920318724,41.5537848605578,36.4143426294821,4.82071713147411,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_002,2,N0,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,NA,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,NA,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,0,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,510.73,0.3688,8.407,1.125,5.126,6.687,1.498,0.0273,0.004,0.012,0.141,0.202,0.187,NA,09-09-2014,504.02,0.7083,NA,8.2167,0.974,5.29,2.249,8.434,0.0432,0.003,0.016,0.144,0.122,0.137,NA,NA,2014-07-06,133,556,2014-10-01,417.5,0.0838,NA,3.0382,0.811,6.742,0.631,0.492,NA,0.003567,0.070911,0.008435,0.030454,0,NA,39.38489,NA,NA,NA,1.4,21.72,87.77,2014-08-16,115,230,15-06-2014,4.1,NA,NA,Ct,NA,11620,432,552.2,10.2161436319648,2.88695004216092,7.97602911422288,NA,0.951185219819611,0.23711847627566,172.246646805462,0.243093061165689,1502.14592719619,67.7209039280059,NA,NA,NA,24.045885995,14.14312373225,1.5079586049,650.112433733333,2166.0358597,64.9928563,320.623678322417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,92.3177493804793,3.94866732477789,1.3228035538006,6.75222112537018,40.7305034550839,38.6771964461994,4.07699901283316,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_003,1,N15,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,21-0-0,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,Ammonium sulfate,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,15,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,511.55,0.7041,7.8059,0.732,11.422,6.894,1.284,0.0276,0.045,0.132,0.546,0.294,0.248,NA,09-09-2014,517.69,0.7514,NA,9.8356,0.905,5.057,2.279,8.233,0.0674,0.003,0.015,0.175,0.208,0.209,NA,NA,2014-07-06,84,307,2014-10-01,456.07,0.0966,NA,2.7065,0.672,6.755,0.621,0.492,NA,0.002526,0.061148,0.007629,0.033687,0,NA,37.48015,NA,NA,NA,1.46,48.79,87.77,2014-08-16,65,131,15-06-2014,4.08,NA,NA,Ct,NA,11375,3620,1321.9,14.0529341782609,2.7483822034837,9.39053007521739,NA,1.2010676984304,0.351705511449275,217.699511864239,0.349678328021739,1688.7311944171,73.0436691491304,NA,NA,NA,28.6950781462264,17.0647097681604,3.56621334641509,1367.81340540881,2568.69937283019,182.907315981132,391.488388870204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,93.2449005203441,3.3044203081193,1.27490039840638,7.45019920318724,41.5537848605578,36.4143426294821,4.82071713147411,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_004,2,N15,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,21-0-0,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,Ammonium sulfate,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,15,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,508.88,0.6235,7.4303,0.81,8.441,6.478,1.335,0.0222,0.036,0.14,0.323,0.223,0.229,NA,09-09-2014,515.98,0.8619,NA,9.1829,0.959,5.253,2.317,8.107,0.0497,0.003,0.016,0.16,0.167,0.188,NA,NA,2014-07-06,141,580,2014-10-01,395.47,0,NA,1.8351,0.65,6.137,0.539,0.454,NA,0.001984,0.060353,0.007073,0.026845,0,NA,50.26478,NA,NA,NA,1.53,28.83,87.77,2014-08-16,114,255,15-06-2014,4.08,NA,NA,Ct,NA,14093,614,268.8,19.3320014176647,4.90368953578406,12.8878186136228,NA,0.687152709875711,0.416990645778443,255.418550945097,0.515448952567365,1647.91505650868,89.4833960178144,NA,NA,NA,28.9864101650327,14.8511121747549,1.95586597147059,883.796023267974,2326.05724009804,104.409944431373,303.332262825899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,92.3177493804793,3.94866732477789,1.3228035538006,6.75222112537018,40.7305034550839,38.6771964461994,4.07699901283316,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_005,1,N30,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,21-0-0,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,Ammonium sulfate,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,30,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,508.05,0.5173,7.8163,0.873,8.001,6.887,1.45,0.0274,0.033,0.115,0.259,0.285,0.268,NA,09-09-2014,516.66,0.8711,NA,10.223,0.903,4.78,2.278,8.213,0.0543,0.004,0.014,0.237,0.151,0.181,NA,NA,2014-07-06,68,207,2014-10-01,429.69,0,NA,2.2964,0.763,6.661,0.619,0.531,NA,0.002819,0.068984,0.010439,0.026159,0.003,NA,77.93001,NA,NA,NA,1.57,55.04,87.77,2014-08-16,70,144,15-06-2014,4.06,NA,NA,Ct,NA,10452,420,364.3,15.6635392068452,4.13988224308594,13.3789321129464,NA,1.24015893767407,0.471809680208333,302.394122405246,0.39772008421875,1443.64371391042,127.632843318304,NA,NA,NA,23.4448162844203,15.3206915459239,2.31565847097826,1054.7655973913,2078.2049175,136.346813869565,323.679107582337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,93.2449005203441,3.3044203081193,1.27490039840638,7.45019920318724,41.5537848605578,36.4143426294821,4.82071713147411,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_006,2,N30,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,21-0-0,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,Ammonium sulfate,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,30,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,506.06,0.4857,7.8875,0.846,7.076,7.459,1.463,0.0229,0.029,0.114,0.234,0.227,0.209,NA,09-09-2014,512.71,0.967,NA,10.4,1.008,4.761,2.442,9.037,0.048,0.003,0.014,0.205,0.112,0.144,NA,NA,2014-07-06,184,710,2014-10-01,398.54,0,NA,2.2632,0.708,6.695,0.665,0.516,NA,0.003224,0.07392,0.008056,0.071936,0,NA,40.70272,NA,NA,NA,1.56,38.84,87.77,2014-08-16,111,247,15-06-2014,4.13,NA,NA,Ct,NA,11342,632,372.4,13.2376150216763,3.48370923208634,9.17177759523122,NA,0.723783467972507,0.37000453482659,202.159054004805,0.313004635339595,1409.74626090723,87.0460586848266,NA,NA,NA,26.1180782303922,12.722318942402,1.83904259284314,872.497990457516,2190.65985137255,85.0937298039216,362.718823950082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,92.3177493804793,3.94866732477789,1.3228035538006,6.75222112537018,40.7305034550839,38.6771964461994,4.07699901283316,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_007,1,N45,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,21-0-0,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,Ammonium sulfate,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,45,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,509.43,0.3732,7.0188,0.737,6.485,7.66,1.474,0.023,0.027,0.12,0.301,0.338,0.308,NA,09-09-2014,513.75,0.8142,NA,11.191,0.958,4.807,2.3,8.71,0.0547,0.004,0.014,0.277,0.248,0.175,NA,NA,2014-07-06,144,547,2014-10-01,431.4,0,NA,1.3277,0.778,6.77,0.572,0.515,NA,0.003121,0.062511,0.009246,0.053189,0.002,NA,29.17885,NA,NA,NA,1.56,59.89,87.77,2014-08-16,76,177,15-06-2014,4.09,NA,NA,Ct,NA,11617,713,519.4,14.0426197492212,4.19611437337033,11.3086696602804,NA,0.662655785042017,0.425911354890966,258.777886069042,0.352821793107477,1368.54419213053,95.13658595,NA,NA,NA,26.5729447924837,11.4529987914216,2.03210282362745,917.884586535948,1973.39021431373,70.5200383529412,303.043399910866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,93.2449005203441,3.3044203081193,1.27490039840638,7.45019920318724,41.5537848605578,36.4143426294821,4.82071713147411,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_008,2,N45,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,21-0-0,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,Ammonium sulfate,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,45,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,509.44,0.375,7.6555,0.887,5.982,7.423,1.455,0.0214,0.022,0.079,0.226,0.201,0.181,NA,09-09-2014,510.33,0.7662,NA,10.718,0.973,4.726,2.265,8.178,0.0427,0.003,0.014,0.171,0.17,0.179,NA,NA,2014-07-06,130,509,2014-10-01,454.91,0,NA,1.3835,0.71,7.108,0.52,0.486,NA,0.002032,0.04808,0.005708,0.025835,0,NA,40.91456,NA,NA,NA,1.44,39.98,87.77,2014-08-16,100,228,15-06-2014,3.97,NA,NA,Ct,NA,9473.8,631,436.7,11.9035456246377,3.74408696044022,8.05592947521739,NA,0.59206259138692,0.270989004231884,289.180006168587,0.309791746586956,1401.39897992435,103.793803666522,NA,NA,NA,25.6009886445578,17.4712357920918,2.25266551578231,1441.17688397959,2018.14592530612,176.554910142857,376.775724533078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,92.3177493804793,3.94866732477789,1.3228035538006,6.75222112537018,40.7305034550839,38.6771964461994,4.07699901283316,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_009,1,N60,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,21-0-0,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,Ammonium sulfate,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,60,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,511.26,0.3438,7.8297,0.812,6.206,7.371,1.484,0.0201,0.022,0.114,0.219,0.296,0.288,NA,09-09-2014,511.18,0.9672,NA,11.826,0.978,5.089,2.275,8.747,0.0673,0.003,0.014,0.218,0.146,0.188,NA,NA,2014-07-06,104,321,2014-10-01,456.77,0,NA,2.5488,0.548,6.958,0.435,0.419,NA,0.001227,0.043002,0.002966,0.041055,0.021,NA,32.82017,NA,NA,NA,1.51,55.8,87.77,2014-08-16,106,229,15-06-2014,4.11,NA,NA,Ct,NA,10297,1590,657.3,19.9914946292614,3.57478477841442,8.09310509360796,NA,0.684207541813885,0.285257971931818,182.1090553712,0.454424851171875,1476.23898572131,92.5294581106534,NA,NA,NA,23.3353957708333,11.5039209579327,1.6395343998718,751.080861442308,2156.77183615385,93.8135444807692,372.111666989503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,93.2449005203441,3.3044203081193,1.27490039840638,7.45019920318724,41.5537848605578,36.4143426294821,4.82071713147411,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
2014_010,2,N60,Atocas Blanford,Universite Laval,Organic,A9,Centre_du_Quebec,St_Louis_Blanford,2014,46.237854,-72.03705,Stevens,100,2004,N,Conventional,21-0-0,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,P,P,A,Ammonium sulfate,Phosphate Trisodique Poudre,Potassium sulfate,Sul_Po_Mag,NA,Copper sulfate,Soilubor,NA,60,15,80,12,2,1,NA,0,0,31.0468,NA,NA,NA,NA,2014-06-17,NA,NA,2014-06-26,2014-07-02,2014-07-08,2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA,65,Ancien CSN Leco,AcideNitrique_Perchlorique,ICP_Foresterie,105,A,Ancien CSN Leco,Ancien CSN Leco,ICP_Foresterie,ICP_Foresterie,15-06-2014,501.36,0.4424,7.6803,0.77,6.057,7.786,1.481,0.0217,0.023,0.149,0.221,0.271,0.27,NA,09-09-2014,518.37,1.039,NA,12.232,1.047,4.653,2.372,8.577,0.0487,0.003,0.014,0.203,0.106,0.146,NA,NA,2014-07-06,101,341,2014-10-01,461.1,0.1269,NA,2.5889,0.625,7.041,0.506,0.473,NA,0.001782,0.04804,0.004463,0.039665,0.023,NA,45.45049,NA,NA,NA,1.11,27.45,87.77,2014-08-16,111,270,15-06-2014,4.02,NA,NA,Ct,NA,12622,758,396.6,14.7526672183735,3.67613109127071,11.5182546384036,NA,0.885562607615926,0.456287158885542,163.614216477899,0.340722090338855,1562.59477522259,100.598987454669,NA,NA,NA,26.0183956774691,14.6888462678241,1.80663159160494,670.318071851852,2297.28547511111,136.780677666667,259.95299168125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88840880214218,1.41791137433109,1.3764418122447,Sable,92.3177493804793,3.94866732477789,1.3228035538006,6.75222112537018,40.7305034550839,38.6771964461994,4.07699901283316,Saint-Judes,48.2,105.6,86,133.4,56,105.2,11.4,17.2,19.9,17.8,13.2,8.8,NA,NA
